time_dim_id,date_value,date_year,date_month,date_day,date_weekday,date_hour
216,2015-01-10 05:00:00,2015,1,10,6,5
217,2015-01-10 06:00:00,2015,1,10,6,6
218,2015-01-10 07:00:00,2015,1,10,6,7
219,2015-01-10 08:00:00,2015,1,10,6,8
220,2015-01-10 09:00:00,2015,1,10,6,9
221,2015-01-10 10:00:00,2015,1,10,6,10
222,2015-01-10 11:00:00,2015,1,10,6,11
223,2015-01-10 12:00:00,2015,1,10,6,12
224,2015-01-10 13:00:00,2015,1,10,6,13
225,2015-01-10 14:00:00,2015,1,10,6,14
226,2015-01-10 15:00:00,2015,1,10,6,15
227,2015-01-10 16:00:00,2015,1,10,6,16
228,2015-01-10 17:00:00,2015,1,10,6,17
229,2015-01-10 18:00:00,2015,1,10,6,18
230,2015-01-10 19:00:00,2015,1,10,6,19
231,2015-01-10 20:00:00,2015,1,10,6,20
232,2015-01-10 21:00:00,2015,1,10,6,21
233,2015-01-10 22:00:00,2015,1,10,6,22
234,2015-01-10 23:00:00,2015,1,10,6,23
235,2015-01-11 00:00:00,2015,1,11,0,0
236,2015-01-11 01:00:00,2015,1,11,0,1
237,2015-01-11 02:00:00,2015,1,11,0,2
238,2015-01-11 03:00:00,2015,1,11,0,3
239,2015-01-11 04:00:00,2015,1,11,0,4
240,2015-01-11 05:00:00,2015,1,11,0,5
241,2015-01-11 06:00:00,2015,1,11,0,6
242,2015-01-11 07:00:00,2015,1,11,0,7
243,2015-01-11 08:00:00,2015,1,11,0,8
244,2015-01-11 09:00:00,2015,1,11,0,9
245,2015-01-11 10:00:00,2015,1,11,0,10
246,2015-01-11 11:00:00,2015,1,11,0,11
247,2015-01-11 12:00:00,2015,1,11,0,12
248,2015-01-11 14:00:00,2015,1,11,0,14
249,2015-01-11 15:00:00,2015,1,11,0,15
250,2015-01-11 16:00:00,2015,1,11,0,16
251,2015-01-11 17:00:00,2015,1,11,0,17
252,2015-01-11 18:00:00,2015,1,11,0,18
253,2015-01-11 19:00:00,2015,1,11,0,19
254,2015-01-11 20:00:00,2015,1,11,0,20
255,2015-01-11 21:00:00,2015,1,11,0,21
256,2015-01-11 22:00:00,2015,1,11,0,22
257,2015-01-11 23:00:00,2015,1,11,0,23
258,2015-01-12 00:00:00,2015,1,12,1,0
259,2015-01-12 01:00:00,2015,1,12,1,1
260,2015-01-12 02:00:00,2015,1,12,1,2
261,2015-01-12 03:00:00,2015,1,12,1,3
262,2015-01-12 04:00:00,2015,1,12,1,4
263,2015-01-12 05:00:00,2015,1,12,1,5
264,2015-01-12 06:00:00,2015,1,12,1,6
265,2015-01-12 07:00:00,2015,1,12,1,7
266,2015-01-12 08:00:00,2015,1,12,1,8
267,2015-01-12 09:00:00,2015,1,12,1,9
268,2015-01-12 10:00:00,2015,1,12,1,10
269,2015-01-12 11:00:00,2015,1,12,1,11
270,2015-01-12 12:00:00,2015,1,12,1,12
271,2015-01-12 13:00:00,2015,1,12,1,13
272,2015-01-12 14:00:00,2015,1,12,1,14
273,2015-01-12 15:00:00,2015,1,12,1,15
274,2015-01-12 16:00:00,2015,1,12,1,16
275,2015-01-12 17:00:00,2015,1,12,1,17
276,2015-01-12 18:00:00,2015,1,12,1,18
277,2015-01-12 19:00:00,2015,1,12,1,19
278,2015-01-12 20:00:00,2015,1,12,1,20
279,2015-01-12 21:00:00,2015,1,12,1,21
280,2015-01-12 22:00:00,2015,1,12,1,22
281,2015-01-12 23:00:00,2015,1,12,1,23
282,2015-01-13 00:00:00,2015,1,13,2,0
283,2015-01-13 01:00:00,2015,1,13,2,1
284,2015-01-13 02:00:00,2015,1,13,2,2
285,2015-01-13 03:00:00,2015,1,13,2,3
286,2015-01-13 04:00:00,2015,1,13,2,4
287,2015-01-13 05:00:00,2015,1,13,2,5
288,2015-01-13 06:00:00,2015,1,13,2,6
289,2015-01-13 08:00:00,2015,1,13,2,8
290,2015-01-13 09:00:00,2015,1,13,2,9
291,2015-01-13 10:00:00,2015,1,13,2,10
292,2015-01-13 11:00:00,2015,1,13,2,11
293,2015-01-13 12:00:00,2015,1,13,2,12
294,2015-01-13 13:00:00,2015,1,13,2,13
295,2015-01-13 14:00:00,2015,1,13,2,14
296,2015-01-13 15:00:00,2015,1,13,2,15
297,2015-01-13 16:00:00,2015,1,13,2,16
298,2015-01-13 17:00:00,2015,1,13,2,17
299,2015-01-13 18:00:00,2015,1,13,2,18
300,2015-01-13 19:00:00,2015,1,13,2,19
301,2015-01-13 20:00:00,2015,1,13,2,20
302,2015-01-13 21:00:00,2015,1,13,2,21
303,2015-01-13 22:00:00,2015,1,13,2,22
304,2015-01-13 23:00:00,2015,1,13,2,23
305,2015-01-14 00:00:00,2015,1,14,3,0
306,2015-01-14 01:00:00,2015,1,14,3,1
307,2015-01-14 02:00:00,2015,1,14,3,2
308,2015-01-14 03:00:00,2015,1,14,3,3
309,2015-01-14 04:00:00,2015,1,14,3,4
310,2015-01-14 05:00:00,2015,1,14,3,5
311,2015-01-14 06:00:00,2015,1,14,3,6
312,2015-01-14 07:00:00,2015,1,14,3,7
313,2015-01-14 08:00:00,2015,1,14,3,8
314,2015-01-14 09:00:00,2015,1,14,3,9
315,2015-01-14 10:00:00,2015,1,14,3,10
316,2015-01-14 11:00:00,2015,1,14,3,11
317,2015-01-14 12:00:00,2015,1,14,3,12
318,2015-01-14 13:00:00,2015,1,14,3,13
319,2015-01-14 14:00:00,2015,1,14,3,14
320,2015-01-14 15:00:00,2015,1,14,3,15
321,2015-01-14 16:00:00,2015,1,14,3,16
322,2015-01-14 17:00:00,2015,1,14,3,17
323,2015-01-14 18:00:00,2015,1,14,3,18
324,2015-01-14 19:00:00,2015,1,14,3,19
325,2015-01-14 20:00:00,2015,1,14,3,20
326,2015-01-14 21:00:00,2015,1,14,3,21
327,2015-01-14 22:00:00,2015,1,14,3,22
328,2015-01-14 23:00:00,2015,1,14,3,23
329,2015-01-15 00:00:00,2015,1,15,4,0
330,2015-01-15 01:00:00,2015,1,15,4,1
331,2015-01-15 02:00:00,2015,1,15,4,2
332,2015-01-15 03:00:00,2015,1,15,4,3
333,2015-01-15 04:00:00,2015,1,15,4,4
334,2015-01-15 05:00:00,2015,1,15,4,5
335,2015-01-15 06:00:00,2015,1,15,4,6
336,2015-01-15 07:00:00,2015,1,15,4,7
337,2015-01-15 08:00:00,2015,1,15,4,8
338,2015-01-15 09:00:00,2015,1,15,4,9
339,2015-01-15 10:00:00,2015,1,15,4,10
